Métier,Entreprise,Poste,Niveau,Lieu,Salaire,Expérience,Compétences,Description
Data Scientist,ARTEFACT,Data Scientist (H/F),Senior,75 - PARIS 09,Annuel de 48000.0 Euros à 71000.0 Euros sur 12.0 mois,Débutant accepté,"Programmation en Python, excel, rest, machine learning, Conduire des travaux d'études et de recherche, go, Adapter les outils de traitement statistique de données, Mettre en place des outils d'aide à la décision, Définir et faire évoluer des procédés de traitement de l'information, Mastère spécialisé expert en sciences des données, agile, ia, git, api, r, Structurer, synthétiser des informations","Qui nous sommes Artefact est une nouvelle génération de prestataire de services en data, spécialisé en conseil en données, dédié à transformer les données en impact business à travers toute la chaîne de valeur des organisations. Nous sommes fiers d'afficher une croissance fulgurante.  Notre large gamme de solutions basées sur les données, en conseil et en marketing digital, est conçue pour répondre aux besoins spécifiques de nos clients, avec une approche centrée sur le business et des résultats"
Data Scientist,Non spécifié,"Data Scientist - Vision, NLP et Propriété Intellectuelle (H/F)",Stage,64 - PAU,Annuel de 32000.0 Euros à 34000.0 Euros sur 12.0 mois,1 An(s),"json, python, kubernetes, Adapter les outils de traitement statistique de données, pipeline, pandas, postgresql, Définir et faire évoluer des procédés de traitement de l'information, ia, docker, tensorflow, sql, r, nlp, api, scikit-learn, go, aws, pytorch, git, numpy","Startup issue du domaine de la propriété intellectuelle, développant des solutions d'intelligence artificielle pour les experts de la protection des innovations. Nos outils exploitent la vision, le NLP et l'apprentissage explicable pour assister les professionnels du droit : détection de similarités, génération d'arguments, rédaction de brevets et analyse de portefeuilles. Nous opérons à l'interface entre recherche académique et ingénierie logicielle (Python, PyTorch, Docker, PostgreSQL, OVHClou"
Data Scientist,Stand CELAD,AQUITEC / Data scientist(H/F),Non spécifié,33 - BORDEAUX,Non spécifié,2 An(s),"rest, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, r, statistiques","Venez nous rencontrer au salon Aquitec le Jeudi 16 Octobre de 9h à 17h au stade Matmut Atlantique  Voici un aperçu détaillé de vos missions  :  - Participer à l'amélioration d'outils de simulation et de modélisation de processus biologiques  - Concevoir et exécuter des analyses statistiques et des jeux de simulations de données réelles  - Collaborer étroitement avec les équipes de biologistes et data scientists pour comparer, interpréter et affiner les modèles existants  - Identifier les écarts "
Data Scientist,LITTLEBIGCODE,Data scientist (H/F),Alternance,75 - PARIS 17,Non spécifié,2 An(s),"nlp, machine learning, python, go, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, deep learning, ia, r","Rejoins LittleBigCode en tant que Data Scientist ! Chez LittleBigCode, notre mission est simple : transformer les données en valeur pour nos clients. Nous accompagnons des entreprises ambitieuses dans leurs projets data & IA, en concevant et déployant des solutions innovantes qui font la différence.  Ton rôle chez nous En tant que Data Scientist, tu seras amené(e) à : Accompagner nos clients dans la mise en œuvre de solutions autour de la gestion et de la transformation de leurs données. Concevo"
Data Scientist,PANDORE ASSOCIATES,Data Scientist Junior (H/F),Stage,75 - PARIS 16,Annuel de 40000.0 Euros sur 12.0 mois,Débutant accepté,"Paramétrer un logiciel, un outil, un système numérique, Application des méthodes de machine learning dans BI, excel, Déterminer l'opportunité de l'intégration d'outils d'intelligence artificielle et de data science dans le modèle d'affaires, Analyser et traiter l'information à des fins d'anticipation, python, Concevoir des modèles théoriques (calcul, simulation, modélisation), Adapter les outils de traitement statistique de données, matplotlib, Analyse de données expérimentales, Mobiliser des données massives pour éclairer les prises de décisions, java, Réaliser des enquêtes statistiques selon les résultats issus des solutions de Data Science, Gérer des données massives, pandas, Business Intelligence (BI) - Informatique décisionnelle, Big data Analytics, Modélisation et simulation, Définir et faire évoluer des procédés de traitement de l'information, Mastère spécialisé expert en sciences des données, Modélisation statistique, Logiciels de gestion de base de données, Lire et interpréter des données et documents techniques, au besoin en anglais, Réaliser une analyse ou modélisation statistique de données, spark, statistiques, Programmation en Python, tableau, ia, Définir les solutions de stockage et de structuration des données, tensorflow, Procéder aux phases de tests et de recettes des applications développées, r, sql, c#, machine learning, Assurer le suivi de la qualité des données, Réaliser un modèle de prévision, scikit-learn, Conduire des travaux d'études et de recherche, Analyser des données pour soutenir des décisions stratégiques, Exploiter des solutions de Data Science ou d'Intelligence Artificielle, Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement, go, pytorch, Data engineer, Langages de programmation informatique, Utiliser des logiciels spécifiques","En tant que Data Scientist Junior au sein de l'équipe Technique de Pandore Associates, vous serez impliqué dans l'analyse et l'exploitation des données pour répondre à des problématiques métiers variées. Sous la supervision du CTO et du Managing Partner en charge des sujets technologiques, vous participerez à des projets innovants, incluant une forte dimension de recherche et développement (R&D), avec pour objectif de développer des solutions technologiques de pointe. Ce poste vous permettra de "
Data Scientist,SEPTEO,Data scientist (H/F),Senior,75 - Paris (Dept.),Mensuel de 40000.0 Euros à 50000.0 Euros sur 12.0 mois,5 An(s),"nlp, api, python, Adapter les outils de traitement statistique de données, pytorch, mlflow, Définir et faire évoluer des procédés de traitement de l'information, agile, ia, scala, docker, pipeline, r","Septeo, éditeur de logiciels de référence en Europe, est un groupe qui grandit vite. Qui se transforme. En 10 ans, nous sommes devenus un des leaders européens de la tech, une référence dans l'édition de logiciels. Cette évolution, c'est le fruit d'un collectif. Le résultat d'un travail d'équipes déterminées, audacieuses et engagées. Des équipes qui travaillent main dans la main, dans la simplicité, la convivialité & la confiance.  Animés par des valeurs communes, chez Septeo, on est ensemble, o"
Data Scientist,CLEEVEN SE,Data Scientist (F/H) (H/F),Senior,06 - BIOT,Mensuel de 30000.0 Euros à 40000.0 Euros sur 12.0 mois,6 Mois,"excel, rest, machine learning, python, Analyser des données pour soutenir des décisions stratégiques, go, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, big data, ia, r, statistiques","Data Scientist (F/H)  L'entreprise  QUI SOMMES NOUS ? CLEEVEN, cabinet de conseil en ingénierie à dimension internationale, s'est construit autour de 2 éléments extrêmement forts :  Notre MISSION : Augmenter le degré de conscience de soi et de ceux qui nous entourent. Notre CONVICTION : L'excellence des Ingénieurs européens doit permettre à l'Europe de développer sa position de leader en terme d'Innovation Technologique, et de R & D. En tant qu'ingénieurs, nous participons activement aux côtés d"
Data Scientist,SEGMENT ELITE,Lead Data Scientist AI (H/F),Senior,75 - PARIS 09,Annuel de 50000.0 Euros à 65000.0 Euros sur 12.0 mois,7 An(s),"python, kubernetes, Adapter les outils de traitement statistique de données, mlflow, Définir et faire évoluer des procédés de traitement de l'information, spark, rest, docker, tensorflow, r, ci/cd, azure, machine learning, scikit-learn, aws, pytorch, deep learning, git, gcp, api","Nous recherchons un Lead Data Scientist AI pour renforcer notre équipe et piloter un projet stratégique  Vous serez responsable de la conception, du développement et du déploiement de modèles d'intelligence artificielle à grande échelle.  Localisation : France Expérience : minimum 7 ans  Compétences clés : Expertise en Machine Learning, Deep Learning et MLOps Maîtrise de Python, TensorFlow, PyTorch, Scikit-Learn Expérience en cloud computing (AWS, GCP, Azure) Connaissance en Data Engineering et "
Data Scientist,AMILTONE,Data scientist (H/F),Non spécifié,69 - VILLEURBANNE,Annuel de 28000.0 Euros à 45000.0 Euros sur 12.0 mois,4 An(s),"pandas, machine learning, python, go, Rédiger les volets IA et Data Science d'une proposition commerciale de développement de solution, agile, r, git, numpy, sql","À propos Qui sommes-nous ?  Nous sommes passionnés par les nouvelles technologies, et vous ?   Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation digitale.  Pourquoi choisir Amiltone ?    Amiltone, plus qu'une entreprise, un état d'esprit !  Notre objectif ? Votre épanouissement professionnel !  Nous avons à cœur de :  Vous accompa"
Data Scientist,Non spécifié,Data Scientist H/F (H/F),Senior,59 - ROUBAIX,Mensuel de 3000.0 Euros à 3600.0 Euros sur 12.0 mois,3 An(s),"Application des méthodes de machine learning dans BI, Déterminer l'opportunité de l'intégration d'outils d'intelligence artificielle et de data science dans le modèle d'affaires, Analyser et traiter l'information à des fins d'anticipation, python, Concevoir des modèles théoriques (calcul, simulation, modélisation), Adapter les outils de traitement statistique de données, pipeline, Mobiliser des données massives pour éclairer les prises de décisions, Réaliser des enquêtes statistiques selon les résultats issus des solutions de Data Science, Gérer des données massives, databricks, Méthodes de prospective, Business Intelligence (BI) - Informatique décisionnelle, Big data Analytics, Modélisation et simulation, Définir et faire évoluer des procédés de traitement de l'information, Mastère spécialisé expert en sciences des données, Modélisation statistique, agile, Lire et interpréter des données et documents techniques, au besoin en anglais, Langage C++, Réaliser une analyse ou modélisation statistique de données, spark, Système de Gestion de Bases de Données (SGBD), Programmation en Python, Traduire les demandes de l'entreprise en solutions techniques, DRT modélisation calcul scientifique statistique et informatique, tableau, ia, snowflake, Procéder aux phases de tests et de recettes des applications développées, r, azure, nlp, Etablir des prévisions, des évaluations, des recommandations, des perspectives, Réaliser un modèle de prévision, Analyser des données pour soutenir des décisions stratégiques, Exploiter des solutions de Data Science ou d'Intelligence Artificielle, Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement, Mettre en place des outils d'aide à la décision, Faire remonter les besoins clients en interne pour adapter l'offre aux enjeux émergents, Langages de programmation informatique, Structurer, synthétiser des informations","Rattaché(e) à la Direction Data et sous la Responsabilité du Chief Data Officer, vous travaillerez en mode projet avec les experts métiers des sujets concernés (prévisions de ventes, descriptions des produits, comptes d'exploitation, .) et serez responsable de la roadmap produit et des livrables. Les projets envisagés couvriront un spectre large de thématiques liées à l'IA (NLP, Computer Vision, systèmes prédictifs, .). Vous aurez accès aux dernières technologies (Azure Cloud, Databricks, Snowfl"
Data Scientist,AMILTONE,Data Scientist / Data Engineer H/F (H/F),Alternance,69 - VILLEURBANNE,Mensuel de 30000.0 Euros à 40000.0 Euros sur 12.0 mois,1 An(s),"Docker , python, Adapter les outils de traitement statistique de données, ML OPS, pipeline, mlflow, Définir et faire évoluer des procédés de traitement de l'information, agile, Power BI, ia, docker, sql, r, ML FLOW, ci/cd, SQL, power bi, git, api","Qui sommes-nous ?  Nous sommes passionnés par les nouvelles technologies, et vous ? Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation digitale.  Pourquoi choisir Amiltone ?  Amiltone, plus qu'une entreprise, un état d'esprit ! Notre objectif ? Votre épanouissement professionnel ! Nous avons à cœur de : Vous accompagner au mieux au"
Data Scientist,AMILTONE,Data Scientist H/F (H/F),Non spécifié,69 - VILLEURBANNE,Mensuel de 30000.0 Euros à 40000.0 Euros sur 12.0 mois,2 An(s),"SQL, sql, power bi, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, agile, kafka, Power BI, git, snowflake, r","Qui sommes-nous ?  Nous sommes passionnés par les nouvelles technologies, et vous ? Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation digitale.  Pourquoi choisir Amiltone ?  Amiltone, plus qu'une entreprise, un état d'esprit ! Notre objectif ? Votre épanouissement professionnel ! Nous avons à cœur de : Vous accompagner au mieux au"
Data Scientist,HUPI,Data scientist (H/F) NON LOGE,Senior,64 - BIDART,Mensuel de 2400.0 Euros à 2600.0 Euros sur 12.0 mois,1 An(s) - Option Math/Mathématiques appliquées,"Définir et faire évoluer des procédés de traitement de l'information, go, r, Adapter les outils de traitement statistique de données",Nous recherchons un(e) Datascientist pour étoffer notre équipe sur Bidart.   Vos missions principales :  - Recherche et développement de nouveaux algorithmes - Identification des problématiques - Rédaction des documents   Profil recherché: Datascientist sorti d'école de niveau bac+5 Option Math ou Mathématiques appliquées ou salarié(e) expérimenté d'un an
Data Scientist,IRLY,Data scientist (H/F),Senior,Ile-de-France,Annuel de 40000.0 Euros à 45000.0 Euros sur 12.0 mois,Débutant accepté,"rest, tableau, go, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, big data, agile, ia, git, snowflake, api, r","IRLY réinvente le métier du conseil autour de la transformation digitale. Nos équipes interviennent sur de grands programmes de transformation, principalement pour de grandes banques et sur des enjeux complexes à la fois d'un point de vue métier et technologique.  Votre rôle Au sein d'une équipe IRLY pluridisciplinaires, votre rôle est d'accompagner nos clients sur leurs projets de transformation digitale, sur la dimension Data : - Identifier les problématiques Data du client et recueillir ses b"
Data Scientist,CARBOOKR,Data scientist (H/F),Alternance,13 - MARSEILLE 08,Annuel de 38000.0 Euros à 40000.0 Euros sur 12.0 mois,2 An(s),"python, Adapter les outils de traitement statistique de données, github, matplotlib, nosql, feature engineering, seaborn, pandas, postgresql, google cloud, Définir et faire évoluer des procédés de traitement de l'information, big data, hadoop, mysql, spark, gitlab, statistiques, rest, ia, tensorflow, sql, r, machine learning, scikit-learn, go, data visualization, pytorch, mongodb, git, numpy","LA SOCIÉTÉ Tu veux faire partie d'une startup qui révolutionne la location de voitures ? Fondée en 2017, Carbookr est LA marketplace de location de voitures qui a l'ambition de devenir le service de référence pour les professionnels.où qu'ils aillent dans le monde. Avec une offre de 2 500 points de location en France et 160 pays, nous développons notre offre de services sur le marché Français à vitesse accélérée, avant de nous déployer en Europe. Nous ambitionnons en outre d'être les pionniers e"
Data Scientist,SAS WOODOO,Data scientist (H/F),Non spécifié,75 - PARIS 18,Mensuel de 2000.0 Euros à 2500.0 Euros sur 12.0 mois,Débutant accepté,"rest, machine learning, dash, go, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, ia, api, r, statistiques","WOODOO est la startup française qui croit fermement que le bois est la clé d'un futur durable. En repensant le bois à l'échelle moléculaire, Woodoo offre des solutions inédites pour le secteur du bâtiment, permettant de repenser les méthodes de construction pour qu'elles soient à la fois plus rapides, plus efficaces et plus respectueuses de l'environnement. Depuis son pivot en 2024, l'entreprise se consacre à transformer l'industrie de la construction. Dirigée par Timothée Boitouzet, architecte "
Data Scientist,SAINT GOBAIN RECHERCHE,Ingénieur-e de recherche data-scientist (H/F),Senior,93 - AUBERVILLIERS,Non spécifié,Débutant accepté,"Conduire des travaux d'études et de recherche, python, go, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, ia, git, r, statistiques","Pourquoi a-t-on besoin de vous ?  Au sein de la R&D de Saint-Gobain, l'équipe Méthodes Avancées de Data-Science est un laboratoire au service de l'ensemble des activités du Groupe Saint-Gobain. Nos experts utilisent la data-science au service de notre industrie, du développement des matériaux de demain, et de la transformation digitale du Groupe Saint-Gobain.  Dans ce cadre, vos missions seront les suivantes :  Proposer, cadrer et mener des projets de recherche appliquée liés à la data-science, "
Data Scientist,AMILTONE,Lead data (H/F),Senior,69 - VILLEURBANNE,Annuel de 40000.0 Euros à 50000.0 Euros sur 12.0 mois,9 An(s),"pandas, sql, IA, machine learning, Conduire des travaux d'études et de recherche, python, power bi, go, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, big data, agile, ia, mysql, tensorflow, git, r, statistiques","Qui sommes-nous ?  Nous sommes passionnés par les nouvelles technologies, et vous ?   Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation digitale.   Pourquoi choisir Amiltone ?    Amiltone, plus qu'une entreprise, un état d'esprit !  Notre objectif ? Votre épanouissement professionnel !  Nous avons à cœur de :  Vous accompagner au "
Data Scientist,ADECCO,Ingénieur Machine Learning Python (H/F),Senior,31 - Labège,Annuel de 45000.0 Euros à 65000.0 Euros sur 12.0 mois,Débutant accepté,"machine learning, python, go, pytorch, ia, tensorflow, r","LHH Recruitment Solutions, cabinet de conseil en recrutement d'experts et de cadres, recrute pour son client, entreprise finale à taille humaine, un(e) Ingénieur Machine Learning (H/F) à Labège (31), en CDI.  Notre client se distingue par son engagement à offrir des solutions innovantes et sur mesure aux professionnels du secteur médical. Avec une solide expérience sur le marché, cette entreprise accompagne ses partenaires au quotidien en plaçant la satisfaction client au cœur de sa démarche, da"
Data Scientist,LES INTERIMAIRES PROFESSIONNELS TERTIAIR,Gestionnaire de données (H/F),Non spécifié,37 - Tours,Mensuel de 2100.0 Euros sur 12.0 mois,2 An(s),"ia, r","L'agence LIP Office recherche pour l'un de ses clients, un(e) gestionnaire de données.  En tant qu'Administrateur de Données, vous serez en charge de l'enrichissement et de la fiabilisation des bases de données, avec une attention particulière portée aux procédures collectives. Vous intégrerez un environnement de travail dynamique où l'innovation, la qualité des données et la satisfaction client sont au cœur de nos préoccupations quotidiennes.  Sur ce poste, vos missions seront les suivantes :  "
Data Scientist,INRAE NA-POITIERS LUSIGNAN,Chargé(e) de modélisation et traitement des données (H/F),Non spécifié,86 - LUSIGNAN,Mensuel de 2815.00 Euros à 4563.00 Euros sur 12 mois,1 An(s),"rest, go, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, ia, api, r","En tant qu'ingénieur(e) ayant en charge la modélisation et le traitement des données, vous rejoindrez la direction opérationnelle du PNR AgriPV, en charge de la gestion administrative, de la relation entre les instances de la gouvernance du PNR AgriPV et de l'animation scientifique en lien avec un comité scientifique et des sections thématiques.  Dans ce contexte, vos missions porteront principalement sur le traitement des données expérimentales et leur utilisation dans un contexte de modélisati"
Data Scientist,Non spécifié,Data scientist (H/F),Senior,75 - Paris 9e Arrondissement,Non spécifié,3 An(s),"pandas, nlp, machine learning, python, kubernetes, pytorch, deep learning, ia, docker, git, pipeline, gitlab, r, statistiques, azure","Description du poste : Au quotidien, ça donne quoi ? Pour assurer ses ambitions sur la transformation de toutes ses activités par l'IA, le Head Office du pôle Investment & Protection Services (IPS) renforce son équipe Data&AI, et recrute un profil qui sera hiérarchiquement rattaché au pôle, et opérationnellement détaché au plus près des métiers. Vos principaux objectifs : - Accélérer l'adoption des projets IA dans les métiers du pôle ; en contribuant à l'usage des solutions IA du Group et au dév"
Data Scientist,Non spécifié,Data scientist (H/F),Stage,64 - Biarritz,Annuel de 40000.0 Euros à 55000.0 Euros,Débutant accepté,"api, python, go, kubernetes, bigquery, r, ia, docker, tensorflow, git, gcp, spark, sql, ci/cd","Description du poste : En postulant à cette offre, vous aurez l'opportunité de rejoindre start-up dynamique spécialisée dans la data et l'IA pour le secteur de la construction . Vos missions si vous les acceptez : Rattaché(e) au CTO , vous participerez à la conception, l'amélioration et la mise en production de solutions d'intelligence artificielle à fort impact :***Améliorer les modèles existants (supervisé / non supervisé / renforcement, etc.) * Participer aux choix architecturaux (GCP, CI/CD)"
Data Scientist,BNP Paribas Mission Handicap,Data Scientist Climate Analytics and Alignment (H/F),Senior,75 - Paris,Non spécifié,3 An(s),"python, dash, go, ia, git, r","BNP Paribas est un leader européen des services bancaires et financiers, présent dans 65 pays avec plus de 190 000 collaborateurs et collaboratrices. Engagé pour une croissance durable et responsable, le Groupe accompagne au quotidien ses clients particuliers, entreprises et institutionnels dans la réalisation de leurs projets, tout en plaçant l'innovation, la diversité et la finance durable au cœur de sa stratégie. Rejoindre BNP Paribas, c'est intégrer une entreprise qui agit concrètement pour "
Data Scientist,AIR FRANCE,Senior Data scientist F/H (H/F),Stage,95 - Val-d'Oise,Non spécifié,Débutant accepté,"machine learning, python, go, r, ia, sql, statistiques","Détail de l'offre Informations générales Entité de rattachement Avec le premier réseau long-courrier au départ de l'Europe, le groupe Air France /KLM est un acteur majeur du transport aérien mondial.  Ses principaux métiers sont le transport aérien de passagers, de fret et la maintenance aéronautique.  Référence 2025-22977  Description du poste Intitulé du poste Senior Data scientist F/H Métier Stratégie et développement - Etudes et Performance Catégorie socio-professionnelle Cadre Présentation "
Data Scientist,AMILTONE,Data Scientist/IA (H/F),Non spécifié,69 - Lyon 1er Arrondissement,Non spécifié,Expérience exigée,"pandas, machine learning, tableau, python, power bi, go, agile, r, git, numpy, sql","Qui sommes-nous ? Nous sommes passionnés par les nouvelles technologies, et vous ?  Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation digitale. Pourquoi choisir Amiltone   Amiltone, plus qu'une entreprise, un état d'esprit ! Notre objectif ? Votre épanouissement professionnel ! Nous avons à cœur de : Vous accompagner au mieux au t"
Data Scientist,Non spécifié,Data Scientist H/F,Non spécifié,93 - Seine-Saint-Denis,Non spécifié,Expérience exigée,"python, pipeline, google cloud, xgboost, statistiques, bigquery, ia, tensorflow, airflow, r, sql, ci/cd, machine learning, scikit-learn, go, etl, git, gcp, api","À propos de nous Nous accompagnons nos clients dans la conception et le déploiement de solutions Data & Intelligence Artificielle à fort impact business. Nos équipes interviennent sur l'ensemble de la chaîne de valeur de la donnée : de la collecte à l'analyse, jusqu'à l'industrialisation de modèles prédictifs. Nous plaçons la proactivité, la curiosité et la qualité technique au cœur de nos projets. Le poste Dans le cadre de notre développement, nous recherchons un Data Scientist pour rejoindre n"
Data Scientist,Non spécifié,Data Scientist H/F,Non spécifié,13 - Aurons,Non spécifié,Débutant accepté,"machine learning, python, data mining, go, aws, java, etl, hadoop, tensorflow, spark, r","À propos du poste Nous recherchons un data scientist ou une data scientist passionné(e) par l'analyse de données et l'intelligence artificielle. Vous intégrerez une équipe dynamique et innovante, où vous aurez l'opportunité de travailler sur des projets variés et stimulants. Votre rôle sera essentiel pour transformer des données brutes en informations exploitables, contribuant ainsi à la prise de décisions stratégiques au sein de notre entreprise. Responsabilités * Analyser et interpréter des en"
Data Scientist,Forums Talents Handicap,Data Scientist - Cybersécurité (H/F),Stage,78 - Vélizy-Villacoublay,Non spécifié,Débutant accepté,"machine learning, python, go, java, big data, ia, scala, pipeline, r","Dassault Systèmes, l'entreprise de la 3DEXPERIENCE, est un « accélérateur de progrès humain ». Elle propose aux entreprises et aux particuliers des environnements virtuels collaboratifs qui leur permettent d'imaginer des innovations plus durables. En développant un jumeau virtuel du monde réel, grâce à la plateforme 3DEXPERIENCE et à ses applications, Dassault Systèmes donne à ses clients les moyens de repousser les limites de l'innovation, de l'apprentissage et de la production. Les 20 000 coll"
Data Scientist,Forums Talents Handicap,Ingénieur Data Scientist - CATIA Fastening (H/F),Stage,75 - Paris 20e Arrondissement,Non spécifié,Débutant accepté,"nlp, machine learning, python, ia, r","Dassault Systèmes, l'entreprise de la 3DEXPERIENCE, est un « accélérateur de progrès humain ». Elle propose aux entreprises et aux particuliers des environnements virtuels collaboratifs qui leur permettent d'imaginer des innovations plus durables. En développant un jumeau virtuel du monde réel, grâce à la plateforme 3DEXPERIENCE et à ses applications, Dassault Systèmes donne à ses clients les moyens de repousser les limites de l'innovation, de l'apprentissage et de la production. Les 20 000 coll"
Data Scientist,Forums Talents Handicap,Generative 3D Multimodality / Data Scientist (H/F),Stage,75 - Paris 20e Arrondissement,Non spécifié,Débutant accepté,"rest, go, pytorch, deep learning, scala, ia, tensorflow, pipeline, r","Dassault Systèmes, l'entreprise de la 3DEXPERIENCE, est un « accélérateur de progrès humain ». Elle propose aux entreprises et aux particuliers des environnements virtuels collaboratifs qui leur permettent d'imaginer des innovations plus durables. En développant un jumeau virtuel du monde réel, grâce à la plateforme 3DEXPERIENCE et à ses applications, Dassault Systèmes donne à ses clients les moyens de repousser les limites de l'innovation, de l'apprentissage et de la production. Les 20 000 coll"
Data Scientist,Forums Talents Handicap,Séquence de conception générative /Data Scientist (H/F),Stage,75 - Paris 20e Arrondissement,Non spécifié,Débutant accepté,"go, ia, c++, pipeline, r","Dassault Systèmes, l'entreprise de la 3DEXPERIENCE, est un « accélérateur de progrès humain ». Elle propose aux entreprises et aux particuliers des environnements virtuels collaboratifs qui leur permettent d'imaginer des innovations plus durables. En développant un jumeau virtuel du monde réel, grâce à la plateforme 3DEXPERIENCE et à ses applications, Dassault Systèmes donne à ses clients les moyens de repousser les limites de l'innovation, de l'apprentissage et de la production. Les 20 000 coll"
Data Scientist,Non spécifié,DATA SCIENTIST (H/F),Non spécifié,75 - Paris,Non spécifié,2 An(s),"machine learning, go, r, ia, docker, api, sql, statistiques","Référence CSP: 2025-2071551   Au sein de la Direction des prêts de la Banque des Territoires, en tant que Data Scientist vous serez à titre principal amené à réaliser divers études / analyses et à mettre en œuvre divers outils de machine Learning. Vous pourrez être amené, ponctuellement et lorsque cela sera nécessaire, à participer à l'activité de production de données du service. Les missions à réaliser seront variées : Mise en œuvre d'algorithmes de text mining et de traitement du langage sur "
Data Scientist,Non spécifié,Data Scientist (H/F),Senior,79 - Deux-Sèvres,Non spécifié,Expérience exigée,"tableau, big data, ia, data mining, r","Kapa IT, ESN présente sur le territoire national, recherche pour le compte de son client (entreprise internationale) des talents pour intégrer ses équipes Nous recherchons des professionnels expérimentés dans les métiers de la Data Science pour intervenir sur des projets à très forte valeur ajoutée, en environnement international. Le candidat devra avoir le recul nécessaire sur les outils de Data Science pour être en mesure de définir une stratégie projets, pour accompagner les MOA et les équipe"
Data Scientist,CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX,BIOSTATISTICIEN - DATA SCIENTIST - PÔLE PÉDIATRIE - H/F,Senior,33 - Bordeaux,Non spécifié,Débutant accepté,"machine learning, python, ia, r, statistiques","Description :   Dans le cadre de la structuration de l’axe de recherche « 3A – de l’Anténatal à l’Âge Adulte » du CHU de Bordeaux, nous recrutons un biostatisticien / data scientist pour soutenir les équipes cliniques dans leur conception et suivi de projets de recherche.  Le projet « 3A – de l’Anténatal à l’Âge Adulte » vise à développer une recherche transdisciplinaire autour de la santé périnatale et infantile, en intégrant les facteurs génétiques, environnementaux, nutritionnels, infectieux "
Data Scientist,Forums Talents Handicap,Data Scientist Senior Expert -  - BPLS Corporate (H/F),Senior,92 - Nanterre,Non spécifié,Débutant accepté,"rest, go, deep learning, ia, git, pipeline, r","Concrètement votre quotidien ?BNP Paribas Leasing Solutions BPLS est le métier spécialisé dans les solutions de crédit-bail et les solutions locatives pour équipements professionnels et immobiliers. Dans une stratégie d'accélération de la transformation digitale et data de BPLS, le département Data Office a été créé en Juillet 2023 afin de répondre au besoin de maîtrise de la donnée et de la transformer en valeur ajoutée pour l'ensemble des Business et Fonctions de BNPP Leasing Solutions.Pour ac"
Data Scientist,Forums Talents Handicap,Data Scientist senior (H/F),Alternance,75 - Paris 1er Arrondissement,Non spécifié,3 An(s),"nlp, machine learning, tableau, python, dash, go, big data, r, ia, sql","Rejoignez la BRED Banque Populaire  : une banque coopérative conquérante, humaine et engagée En tant que banque de proximité engagée sur ses territoires, nous soutenons activement le développement de nos territoires en Île-de-France, en Normandie et Outre-Mer avec un réseau de 411 implantations en France et à l'international, à travers nos filiales en Asie du Sud-Est, dans le Pacifique Sud, en Afrique et en Suisse.Nos activités et nos expertises nous permettent d'accompagner durablement nos clie"
Data Scientist,Non spécifié,Data scientist/analyst f/h (H/F),Non spécifié,France,Non spécifié,Débutant accepté,"ia, r, git","Au sein de la FINANCE ORANO et plus particulièrement du CSP comptabilité, et plus particulièrement au sein du Pôle DATA et ANALYSE, ce poste de Data Scientist/Analyst aura pour mission de permettre une analyse fiable et récurrente de données clés pour la direction financière du groupe et en particulier le CSP Comptable.  Principales responsabilités :  -          Mise en place de reporting automatisés (KPI, KRI, MVP, rapports financiers et extra-financiers), et automatisations de tâches récurrent"
