Métier,Entreprise,Poste,Niveau,Lieu,Salaire,Expérience,Compétences,Description
Data Analyst,JEAN LAIN MOBILITES,Chargé d'analyse et de performance commerciale (H/F),Non spécifié,73 - LA MOTTE SERVOLEX,Mensuel de 2333.0 Euros à 2500.0 Euros sur 12.0 mois,12 Mois,"excel, Etablir des prévisions, des évaluations, des recommandations, des perspectives, tableau, Analyser, exploiter, structurer des données, Excel macros, Adapter les outils de traitement statistique de données, Communiquer les résultats des études aux parties prenantes, ia, Assister une structure dans l'interprétation et l'analyse d'une étude, r, reporting","Dans le cadre d'un remplacement, Jean Lain Mobilités recrute un(e) Chargé (e) d'analyse et de performance commerciale H/F en CDI basé au siège à Chambéry.  Rattaché(e) directement au Responsable de service, vous travaillez au sein du département ""Développement et Analyse Commercial) et intégrerez une équipe de 5 collaborateurs. Vous serez le contact privilégié des Directeurs Commerciaux des marques de votre périmètre.  Le département Développement et Analyse commerciale est chargé de donner de l"
Data Analyst,Non spécifié,Data analyst (H/F),Non spécifié,21 - Côte-d'Or,Non spécifié,3 An(s),"excel, python, dash, go, r, ia, sql, statistiques","Description du poste : En tant qu'organisateur de forums de recrutement, Talents Handicap accompagne de très nombreuses entreprises & organisations en France dans leurs recrutements de collaborateurs en situation de handicap. Participant actuellement à l'un de nos forums. L'entreprise BPCE SA recherche actuellement des profils : Avant de commencer, quelques mots sur notre entreprise : Intégrer BPCE Assurances IARD, c'est rejoindre une entreprise qui fait partie du 2èmegroupe bancaire en France :"
Data Analyst,Fed Group,Contrôleur de Gestion / Data Analyst (H/F),Alternance,31 - Revel,Annuel de 35000.0 Euros à 36000.0 Euros,2 An(s),"excel, tableau, power bi, ia, r","Fed Finance est un cabinet de recrutement spécialisé dans le recrutement de profils comptables & financiers.  Basé à Toulouse depuis 2015, nous accompagnons en Occitanie nos clients et candidats sur des postes en intérim, CDD et CDI. Je m'appelle Baptiste YLONEN, et je suis à la recherche d'un Contrôleur de Gestion / Data Analyst pour un client basé à Revel. Notre client se structure et cherche à moderniser son organisation (pilotage de la performance) Rattaché au Responsable du Contrôle de Gest"
Data Analyst,ISCOD,Alternance DATA ANALYST - Paris (H/F),Alternance,75 - Paris 10e Arrondissement,Non spécifié,Expérience souhaitée,"dash, go, aws, r, ia, mysql, git, sql","Description : L'ISCOD, spécialiste de la formation en Digital Learning, recherche pour son entreprise partenaire un(e) Alternant(e) Data Analyst à Paris.Tu intégreras une équipe à taille humaine où la donnée est au c?ur des décisions stratégiques, et où ton travail aura un impact réel dès les premiers jours.UNE FORMATION DIPLÔMANTECette alternance te permettra de préparer un diplôme reconnu par l'État (Bac +3 à Bac +5) dans le domaine de la data et de l'analyse décisionnelle.Tu développeras tes "
Data Analyst,Skaelia,Data Analyst - Transport & Pricing (H/F),Senior,42 - Bonson,Non spécifié,Expérience exigée,"rest, python, power bi, go, r, ia, git, api, sql, statistiques","Skaelia est un cabinet de conseil en recrutement spécialisé dans les secteurs IT, Business et Conseil. Nous accompagnons les candidats dans la recherche de leur prochain poste, en fonction de leurs compétences et aspirations, quel que soit leur expérience et le niveau de poste recherché, du  diplômé au cadre exécutif. Nous collaborons avec des entreprises de référence, innovantes, qui intègrent la technologie au coeur de leur activité. Parmi nos clients figurent des intégrateurs et éditeurs de l"
Data Analyst,Non spécifié,Data analyst - méthodes supply chain (f/h) (H/F),Non spécifié,40 - Tarnos,Non spécifié,Expérience exigée,"excel, python, power bi, ia, r","Randstad vous ouvre toutes les portes de l'emploi : intérim, CDD, CDI. Chaque année, 330 000 collaborateurs (f/h) travaillent dans nos 60 000 entreprises clientes. Rejoignez-nous !Nous recherchons pour le compte de notre client Safran Helicopter Engines basé à Tarnos, un(e) data analyst - méthodes supply chain. (f/h)Au sein du service Méthodes Supply chain de Safran Helicoptere Engines, vos missions seront de :  - Maintenir et mettre à jour des outils opérationnels et de pilotage  - Consolider l"
Data Analyst,Forums Talents Handicap,Data Analyst (H/F),Non spécifié,21 - Dijon,Non spécifié,Débutant accepté,"excel, python, dash, go, r, ia, sql, statistiques","Avant de commencer, quelques mots sur notre entreprise :Intégrer BPCE Assurances IARD, c'est rejoindre une entreprise qui fait partie du 2èmegroupe bancaire en France : Le groupe BPCE.BPCE Assurances IARD conçoit et gère ses contrats d'assurances non-vie distribués par les réseaux Banque Populaire et Caisse d'Epargne à ses clients particuliersBPCE Assurances IARD c'est aussi une entité à part entière en pleine croissance qui a à cœur d'accompagner ses assurés dans chaque situation.Vous souhaitez"
Data Analyst,Forums Talents Handicap,Data analyst Data (H/F),Stage,75 - Paris 1er Arrondissement,Non spécifié,3 An(s),"excel, go, etl, r, ia, sql, statistiques","Rejoignez la BRED Banque Populaire  : une banque coopérative conquérante, humaine et engagée En tant que banque de proximité engagée sur ses territoires, nous soutenons activement le développement de nos territoires en Île-de-France, en Normandie et Outre-Mer avec un réseau de 411 implantations en France et à l'international, à travers nos filiales en Asie du Sud-Est, dans le Pacifique Sud, en Afrique et en Suisse.Nos activités et nos expertises nous permettent d'accompagner durablement nos clie"
Data Analyst,Non spécifié,DATA ANALYST - TEMPS PLEIN H/F,Senior,75 - Paris,Annuel de 0.0 Euros à 0.0 Euros,Débutant accepté,"excel, rest, tableau, go, r, ia, sql, statistiques","Votre mission : Préparer un plan de travail de correction des données Recueillir toutes les données statiques pour l'ERP de l'entreprise Saisir et mettre à jour des données :  produits  (création article, désignation, paramètres, nomenclature, étapes produits), et compte (création compte fournisseurs et clients) Documenter l'ensemble des contraintes détectées et des actions correctives mise en place pour réunir l'ensemble des données. Catégoriser les données afin de les exploiter au mieux Créer "
Data Analyst,Non spécifié,DATA ANALYST - TEMPS PARTIEL H/F,Senior,10 - Nogent-sur-Seine,Annuel de 0.0 Euros à 0.0 Euros,Débutant accepté,"excel, go, r, ia, data mining, sql, statistiques","Votre mission : Préparation d'un plan de travail de correction des données Recueillir toutes les données statiques pour l'ERP de l'entreprise Saisir, mettre à jour, vérifier la cohérence, contrôler la qualité des données Catégoriser les données afin de les exploiter au mieux Créer et mettre à jour des manuels de gestion de données Participer à la création d'un système d'analyse de la qualité des données Analyser des données simples existantes et rechercher des écarts de données Modéliser et assu"
Data Analyst,Non spécifié,DATA ANALYST - TEMPS PLEIN H/F,Senior,10 - Troyes,Annuel de 0.0 Euros à 0.0 Euros,Débutant accepté,"excel, rest, tableau, go, r, ia, sql, statistiques","Votre mission : Préparer un plan de travail de correction des données Recueillir toutes les données statiques pour l'ERP de l'entreprise Saisir et mettre à jour des données :  produits  (création article, désignation, paramètres, nomenclature, étapes produits), et compte (création compte fournisseurs et clients) Documenter l'ensemble des contraintes détectées et des actions correctives mise en place pour réunir l'ensemble des données. Catégoriser les données afin de les exploiter au mieux Créer "
Data Analyst,Non spécifié,DATA ANALYST  - TEMPS PLEIN H/F,Senior,77 - Provins,Annuel de 0.0 Euros à 0.0 Euros,Débutant accepté,"excel, rest, tableau, go, r, ia, sql, statistiques","Votre mission : Préparer un plan de travail de correction des données Recueillir toutes les données statiques pour l'ERP de l'entreprise Saisir et mettre à jour des données :  produits  (création article, désignation, paramètres, nomenclature, étapes produits), et compte (création compte fournisseurs et clients) Documenter l'ensemble des contraintes détectées et des actions correctives mise en place pour réunir l'ensemble des données. Catégoriser les données afin de les exploiter au mieux Créer "
Data Analyst,Non spécifié,DATA ANALYST - TEMPS PLEIN H/F,Senior,77 - Montereau-Fault-Yonne,Annuel de 0.0 Euros à 0.0 Euros,Débutant accepté,"excel, rest, tableau, go, r, ia, sql, statistiques","Votre mission : Préparer un plan de travail de correction des données Recueillir toutes les données statiques pour l'ERP de l'entreprise Saisir et mettre à jour des données :  produits  (création article, désignation, paramètres, nomenclature, étapes produits), et compte (création compte fournisseurs et clients) Documenter l'ensemble des contraintes détectées et des actions correctives mise en place pour réunir l'ensemble des données. Catégoriser les données afin de les exploiter au mieux Créer "
Data Analyst,Non spécifié,DATA ANALYST  - TEMPS PLEIN H/F,Senior,10 - Romilly-sur-Seine,Annuel de 0.0 Euros à 0.0 Euros,Débutant accepté,"excel, rest, tableau, go, r, ia, sql, statistiques","Votre mission : Préparer un plan de travail de correction des données Recueillir toutes les données statiques pour l'ERP de l'entreprise Saisir et mettre à jour des données :  produits  (création article, désignation, paramètres, nomenclature, étapes produits), et compte (création compte fournisseurs et clients) Documenter l'ensemble des contraintes détectées et des actions correctives mise en place pour réunir l'ensemble des données. Catégoriser les données afin de les exploiter au mieux Créer "
Data Analyst,Non spécifié,DATA ANALYST - TEMPS PLEIN H/F,Senior,89 - Sens,Annuel de 0.0 Euros à 0.0 Euros,Débutant accepté,"excel, rest, tableau, go, r, ia, sql, statistiques","Votre mission : Préparer un plan de travail de correction des données Recueillir toutes les données statiques pour l'ERP de l'entreprise Saisir et mettre à jour des données :  produits  (création article, désignation, paramètres, nomenclature, étapes produits), et compte (création compte fournisseurs et clients) Documenter l'ensemble des contraintes détectées et des actions correctives mise en place pour réunir l'ensemble des données. Catégoriser les données afin de les exploiter au mieux Créer "
Data Analyst,Non spécifié,DATA ANALYST - TEMPS PLEIN H/F,Senior,10 - Nogent-sur-Seine,Annuel de 0.0 Euros à 0.0 Euros,Débutant accepté,"excel, rest, tableau, go, r, ia, sql, statistiques","Votre mission : Préparer un plan de travail de correction des données Recueillir toutes les données statiques pour l'ERP de l'entreprise Saisir et mettre à jour des données :  produits  (création article, désignation, paramètres, nomenclature, étapes produits), et compte (création compte fournisseurs et clients) Documenter l'ensemble des contraintes détectées et des actions correctives mise en place pour réunir l'ensemble des données. Catégoriser les données afin de les exploiter au mieux Créer "
Data Analyst,JEMS,Data Analyst H/F,Senior,92 - Levallois-Perret,Annuel de 45000.0 Euros à 50000.0 Euros,Expérience exigée,"data mining, sql, r, ia","RESPONSABILITÉS :   Nous recherchons  un(e) Data Analyst confirmé(e)  capable d'accompagner les métiers dans l'aide à la décision. Vous aurez la charge de :  • Guider / recommander le Métier dans l'exploitation et la valorisation des multiples sources de données et identifier des leviers d'optimisation et d'amélioration des processus Business  • Être l‘intermédiaire entre le Métier et la DSI  • Accroître la connaissance de la clientèle d'une entreprise, conduire des études sur les bases"
Data Analyst,JEMS,Tech Lead Data Analyst H/F,Junior,92 - Levallois-Perret,Annuel de 50000.0 Euros à 55000.0 Euros,Expérience exigée,"rest, go, r, ia, data mining, sql","RESPONSABILITÉS :   Nous recherchons  un(e) Tech Lead Data Analyst capable de trouver des solutions innovantes et robustes à l'ensemble des problématiques Data. Vous aurez la charge de :  • Assurer la mise en œuvre de l'accès, du référencement et de la qualité de la donnée  • Assurer l'industrialisation, la supervision et l'intégration des solutions  • Rédiger les normes de développement  • Participer à la rédaction du manuel d'exploitation En tant que Tech Lead, vous savez :  • Vous présenter e"
Data Analyst,JEMS,Tech Lead Data Analyst H/F,Junior,69 - Lyon 9e Arrondissement,Annuel de 45000.0 Euros à 50000.0 Euros,Expérience exigée,"rest, go, r, ia, data mining, sql","RESPONSABILITÉS :   Nous recherchons  un(e) Tech Lead Data Analyst capable de trouver des solutions innovantes et robustes à l'ensemble des problématiques Data. Vous aurez la charge de :  • Assurer la mise en œuvre de l'accès, du référencement et de la qualité de la donnée  • Assurer l'industrialisation, la supervision et l'intégration des solutions  • Rédiger les normes de développement  • Participer à la rédaction du manuel d'exploitation En tant que Tech Lead, vous savez :  • Vous présenter e"
